Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event
Veronika Hesse-Schmidt,F,27.0,160.0,55.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
Nguyn Tin Minh,M,33.0,168.0,60.0,Vietnam,VIE,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles
Hayd Hernndez Castro,F,34.0,169.0,66.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball
Kurt Bilteaux Thomas,M,20.0,165.0,58.0,United States,USA,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Floor Exercise
Katie Zaferes (Hursey-),F,27.0,173.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance
Neil Roderick Thomas,M,24.0,162.0,61.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Pommelled Horse
Frank Roland Stoltz,M,36.0,190.0,89.0,Sweden,SWE,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey
Marcello Bertinetti,M,23.0,181.0,72.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team"
Gyrgyi ri-Gyrvri,F,24.0,170.0,65.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball
"Cameron Ann ""Cammy"" Myler",F,19.0,173.0,68.0,United States,USA,1988 Winter,1988,Winter,Calgary,Luge,Luge Women's Singles
Andrzej Wadysaw Sajkowski,M,28.0,177.0,73.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon
Magorzata Gajewska (-Polewczak),F,18.0,162.0,59.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey
"Joseph ""Menn"" Krecke",M,25.0,174.0,74.0,Luxembourg,LUX,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars
Igor Lvovich Dorokhin,M,35.0,180.0,85.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey
Michael James Moore,M,21.0,157.0,54.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights
Patrick van Kalken,M,24.0,168.0,66.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Lightweight
Bae Gi-Ung,M,22.0,170.0,54.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight
Jolana Nmethov (-Domnyov),F,26.0,168.0,65.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball
Catalina Elena Escobar Gmez,F,25.0,156.0,50.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise
Vera Mukhanova,F,27.0,163.0,49.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 800 metres
Sara Renner,F,33.0,168.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's Team Sprint
Felice De Nicolo,M,21.0,165.0,62.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom
Jean-Philippe Le Guellec,M,24.0,171.0,64.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint
Miriam Batten (-Luke),F,35.0,174.0,70.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls
Armin Scheurer,M,30.0,184.0,82.0,Switzerland,SUI,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon
Oleg Vitalyevich Shargorodsky,M,24.0,188.0,87.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey
"Nicholas David ""Nick"" Skelton",M,30.0,175.0,76.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual"
Kateina Krkov-Emmons,F,24.0,165.0,53.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
Helen Ritter,F,18.0,158.0,47.0,Liechtenstein,LIE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 400 metres
Danio Merli,M,20.0,174.0,74.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
Meelis Loit,M,25.0,195.0,100.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Individual"
Adrien Duvillard,M,25.0,170.0,75.0,France,FRA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill
Nabiba Naftali Temu,M,23.0,174.0,62.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 10,000 metres"
Jorge Rodrguez Mone,M,20.0,166.0,70.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar
Zhong Huandi,F,25.0,155.0,42.0,China,CHN,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 10,000 metres"
Viktor Alekseyevich Krovopuskov,M,27.0,179.0,76.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Individual"
Amin Ahmed Adel Youssef,M,25.0,165.0,65.0,Egypt,EGY,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Backstroke
Stefano Venturelli,M,24.0,189.0,125.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Heavyweight
Gabriele Janke,F,24.0,174.0,61.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Individual"
Mark Jan Hendrik Tuitert,M,29.0,182.0,83.0,Netherlands,NED,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's Team Pursuit (8 laps)
Josip Drmi,M,19.0,182.0,70.0,Switzerland,SUI,2012 Summer,2012,Summer,London,Football,Football Men's Football
Olena Anatolivna Ovcharova-Krasovska,F,27.0,176.0,62.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres Hurdles
Carmen Laura Valds Capote,F,17.0,167.0,54.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay
Evelyn Matz (-Hbscher),F,24.0,176.0,70.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball
Henrik Jacobsgaard,M,24.0,180.0,70.0,Denmark,DEN,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball
Davison Lishebo,M,25.0,184.0,73.0,Zambia,ZAM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay
Viktor Fomich Bogachev,M,21.0,182.0,81.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights
Henning Brunsgaard Clausen,M,32.0,170.0,62.0,Denmark,DEN,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
"Ronald Lee ""Ron"" Backes",M,29.0,190.0,125.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put
Josef Buchner,M,23.0,180.0,68.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Individual
Petre Hristovici,M,29.0,184.0,88.0,Romania,ROU,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four
Visa Veli Hongisto,M,21.0,185.0,80.0,Finland,FIN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres
Deborah Anne Southwick,F,16.0,170.0,47.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
Seo Sang-Yeong,M,23.0,165.0,51.0,South Korea,KOR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Flyweight
Vladan Alanovi,M,25.0,190.0,81.0,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball
Mao Asada,F,23.0,163.0,50.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Women's Singles
Erwin Jaisli,M,23.0,176.0,60.0,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual"
Jan witkowski,M,22.0,198.0,104.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
"Donald David ""Dave"" Bush",M,21.0,175.0,63.0,United States,USA,1972 Summer,1972,Summer,Munich,Diving,Diving Men's Springboard
"Yuse ""Yuji"" Kasama",M,29.0,194.0,85.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball
Leila de Souza Sobral Freitas,F,29.0,187.0,83.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball
"Annemarie Josefina ""Anna"" Cox-Wood",F,29.0,171.0,64.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
Yang Ye,F,22.0,177.0,50.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
Olga Yevgenyevna Belyayeva,F,27.0,173.0,64.0,Russia,RUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo
Serge Panizza,M,29.0,180.0,76.0,France,FRA,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Team"
Wu Tao-Yan,M,21.0,164.0,60.0,Chinese Taipei,TPE,1956 Summer,1956,Summer,Melbourne,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Yoshiaki Hatakeda,M,24.0,170.0,72.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings
Noboyuki Kajitani,M,29.0,156.0,53.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars
Mariya Vladimirovna Borodakova-Borisenko,F,26.0,190.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball
Doreen Ann McCannell (-Botterill),F,16.0,167.0,58.0,Canada,CAN,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 1,500 metres"
Istvn Donogn,M,30.0,186.0,98.0,Hungary,HUN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Discus Throw
Ilana Adir (-Kamarshik),F,19.0,165.0,58.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 100 metres
"Susan ""Sue"" Bailey",F,23.0,163.0,46.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights
Lea Alaerts,F,26.0,163.0,54.0,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay
Konrad Hallenbarter,M,26.0,168.0,67.0,Switzerland,SUI,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
"Kimberly ""Kimmie"" Williams",F,27.0,178.0,62.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Triple Jump
Seth Kwame Amoo,M,25.0,170.0,68.0,Ghana,GHA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres
Ieuan David Lloyd,M,23.0,194.0,91.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley
Herbert Lbking,M,30.0,182.0,79.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball
Margot van Geffen,F,26.0,172.0,63.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey
Judit Schlgl-Blaumann,F,31.0,170.0,62.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball
Amrita Sawaram,F,20.0,150.0,43.0,Mauritius,MRI,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Singles
Leonardo Gomes de Deus,M,21.0,175.0,70.0,Brazil,BRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Backstroke
"Theodore Sharp ""Ted"" Ligety",M,21.0,180.0,86.0,United States,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Combined
Annie Last,F,21.0,167.0,60.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,"Cycling Women's Mountainbike, Cross-Country"
Kathleen Baker,F,19.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay
Hiroko Tsuji (-Kato),F,25.0,151.0,47.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise
Jim Sveny,M,32.0,185.0,69.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase"
Lahlou Ben Youns,M,27.0,180.0,75.0,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay
"Anthony Andrew ""Tony"" Jarvis",M,23.0,191.0,76.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Jackson Amadeo Quionez Vernaza,M,32.0,190.0,91.0,Spain,ESP,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles
"Michael ""Mick"" Pikos",M,42.0,180.0,120.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
Kai Alexander Szelig,M,32.0,179.0,90.0,Germany-1,GER,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four
Iwan Gwyn Thomas,M,22.0,186.0,85.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres
Mohinder Lal,M,28.0,165.0,58.0,India,IND,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey
Lauren Spalding (-Bartlett),F,24.0,170.0,65.0,United States,USA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
Laurent Carnol,M,26.0,187.0,82.0,Luxembourg,LUX,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke
"Percival Andrew ""Percy"" Knowles",M,33.0,168.0,70.0,John B,BAH,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed 5.5 metres
Andrea Moody,F,18.0,178.0,68.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
"James Frederic ""Jimmy"" Heuga",M,20.0,168.0,72.0,United States,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom
Anna Katarina Elisabet Frithioff (-Johansson),F,31.0,173.0,63.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
Rafael Da Costa Capote,M,28.0,196.0,109.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball
Patrik Lrtscher,M,37.0,180.0,81.0,Switzerland,SUI,1998 Winter,1998,Winter,Nagano,Curling,Curling Men's Curling
Nina Georgieva Rangelova,F,21.0,170.0,58.0,Bulgaria,BUL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle
Marcello Barbieri,M,25.0,170.0,72.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings
Eugene Botes,M,24.0,193.0,101.0,South Africa,RSA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay
Teemu Antero Kattilakoski,M,28.0,181.0,73.0,Finland,FIN,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
"Shannon Lee Miller (-Phillips, -Falconetti)",F,19.0,147.0,39.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Balance Beam
Gaily Dube,F,19.0,163.0,57.0,Zimbabwe,ZIM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres
"Deborah ""Debbie"" Henry-McCormick",F,36.0,170.0,77.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Curling,Curling Women's Curling
Raycho Khristov,M,23.0,171.0,63.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise
Antoine Richer,M,30.0,187.0,89.0,France,FRA,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey
Julio Ren Martnez Sicn,M,26.0,165.0,60.0,Guatemala,GUA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk
Graeme Lachlan Banks,M,19.0,175.0,75.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Diving,Diving Men's Platform
Rudolf Babiak,M,24.0,157.0,53.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Pommelled Horse
"Thomas Henry ""Tom"" Hoad",M,24.0,177.0,86.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo
Jens Weiflog,M,23.0,170.0,54.0,East Germany,GDR,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Bengt Zikarsky,M,25.0,204.0,95.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay
Nathalie Dielen,F,42.0,163.0,70.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual
David Lazzaroni,M,25.0,185.0,67.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Anderson dos Santos Oliveira,M,24.0,169.0,64.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
Matey Popov,M,21.0,186.0,86.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo
Reginald C. Dos Remedios,M,53.0,168.0,64.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
Eugen Georg Oskar Ekman,M,22.0,178.0,71.0,Finland,FIN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings
Uati Maposua,M,28.0,178.0,77.0,Samoa,SAM,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight
Jakov Fak,M,22.0,181.0,80.0,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint
Eirik Vers Larsen,M,24.0,182.0,80.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
Ivan Aleksandrovich Kalita,M,41.0,170.0,65.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team"
Luis Rivera Rivera,M,21.0,168.0,68.0,Puerto Rico,PUR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around
Georgi Ivanov Stoykovski,M,23.0,173.0,71.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Triple Jump
Luke Mathews,M,21.0,183.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres"
Mihai Claudiu Covaliu,M,18.0,181.0,73.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Individual"
Jelena Zanevskaja,F,21.0,162.0,52.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around
"Matthew ""Matt"" Savoie",M,25.0,175.0,68.0,United States,USA,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Men's Singles
Luis Fernando Ros,M,26.0,178.0,72.0,Argentina,ARG,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 10 kilometres Sprint
Gustavo Salcedo Islas,M,20.0,169.0,69.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Breaststroke
Cheong Jun Hoong,F,22.0,150.0,48.0,Malaysia,MAS,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard
Eva dorov,F,28.0,175.0,60.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Women's Singles
Rainer Hennes,M,29.0,176.0,78.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Christian Reich,M,24.0,178.0,93.0,Switzerland-2,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four
Petar Aleksandrov Iliev,M,21.0,186.0,85.0,Bulgaria,BUL,2006 Winter,2006,Winter,Torino,Luge,Luge Men's Singles
Michael Gnther,M,22.0,182.0,72.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Breaststroke
George Owu,M,22.0,179.0,70.0,Ghana,GHA,2004 Summer,2004,Summer,Athina,Football,Football Men's Football
Ham Deog-Won,M,27.0,182.0,103.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
Andrea Giocondi,M,27.0,180.0,70.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres
Vladimir Vladimirovich Petrov,M,24.0,178.0,77.0,Soviet Union,URS,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey
"Matthew Francis ""Matt"" Beach",M,30.0,192.0,94.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Heavyweight
"Christopher Jeffries ""Chris"" Klug",M,29.0,190.0,102.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Men's Parallel Giant Slalom
Attila Solti,M,37.0,183.0,86.0,Guatemala,GUA,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Running Target, 10 metres"
Tong Fei,M,23.0,166.0,61.0,China,CHN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse
Svetlana Anatolyevna Shishkina-Malakhova,F,24.0,178.0,67.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres
Olga Lidia Vigil Gmez,F,25.0,175.0,65.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball
Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
Martina Valcepina,F,21.0,168.0,60.0,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres"
Olga Sedakova (-Kharts),F,24.0,175.0,57.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team
Hartmut Reich,M,24.0,156.0,52.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Freestyle"
Dimitrios Manganas,M,18.0,190.0,84.0,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle
Reima Untamo Salonen,M,32.0,178.0,70.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 20 kilometres Walk
Yekaterina Petrovna Yusheva,F,27.0,175.0,73.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's Foil, Individual"
Drew Goldsack,M,24.0,178.0,76.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint
Slavica Rini,F,22.0,168.0,67.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball
Hans Straub,M,32.0,174.0,80.0,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
Glafira Sergeyevna Martinovich,F,15.0,176.0,58.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
Marco Marin,M,21.0,180.0,71.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team"
Enrico Sgrulletti,M,27.0,181.0,110.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw
"Judith ""Jutta"" Niehaus (-Tiemann)",F,24.0,168.0,60.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Women's Road Race, Individual"
Kim Song-Il,M,26.0,156.0,53.0,North Korea,PRK,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Pommelled Horse
Ivan Burchin,M,23.0,174.0,80.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Pia Eidmann,F,23.0,167.0,59.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey
Daniel Mahrer,M,26.0,184.0,78.0,Switzerland,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G
Majed Ahmed Abdul Mohamed,M,26.0,172.0,70.0,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football
Kathleen Elizabeth Hersey,F,22.0,180.0,75.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly
"Michael J. ""Mike"" Wherley",M,32.0,200.0,97.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours
Soa Dosoudilov-Novkov,F,28.0,186.0,76.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
Vincent Berger,M,25.0,186.0,90.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy
"Vladimer ""Lado"" Gogoladze",M,22.0,169.0,64.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Parallel Bars
Carlos Hurtado Torres,M,20.0,165.0,60.0,Peru,PER,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Greco-Roman"
